,Domain,Phylum,Class,Order,Family,Genus
vOTU_1590,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1607,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1617,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1631,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1653,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1659,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1678,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1688,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1690,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1706,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1708,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1719,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1725,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1740,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1755,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1790,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1821,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1852,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1858,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1876,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1889,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1933,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1952,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1965,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2006,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2040,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2094,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2097,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2142,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2153,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2160,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2176,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2180,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2187,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2198,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2215,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2223,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2236,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2318,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2328,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2343,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2360,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2365,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2469,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2471,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2480,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2512,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2587,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2652,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2674,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2689,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2741,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2764,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2779,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2792,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2802,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2806,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2814,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2841,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2857,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2863,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2880,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2883,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2894,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2916,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2954,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_2983,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3006,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3029,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3047,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3060,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3064,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3069,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3075,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3090,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3098,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3104,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3135,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3136,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3140,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3145,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3168,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3204,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3209,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3241,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3268,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3305,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3310,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3311,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3324,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3327,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3377,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3381,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3404,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3408,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3490,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3525,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3530,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3548,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3554,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3571,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3577,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3592,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3614,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3629,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3636,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3648,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3663,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3668,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3711,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3714,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3715,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3749,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3763,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3776,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3781,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3801,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3819,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3822,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3862,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3875,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3891,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3899,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3915,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3920,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3941,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3977,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3980,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_3998,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4030,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4033,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4034,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4055,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4061,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4089,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4092,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4120,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4123,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4133,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4171,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4225,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4234,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4244,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4263,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4280,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4338,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4368,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4377,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4394,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4453,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4469,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4479,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
