"","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"vOTU_361","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_362","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_363","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_365","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_373","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_375","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_378","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_386","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_392","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_393","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_404","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_407","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_410","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_420","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_433","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_438","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_442","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_447","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_458","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_464","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_467","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_471","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_474","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_476","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_480","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_484","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_485","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_486","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_487","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_489","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_494","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_495","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_510","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_526","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_528","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_531","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_537","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_547","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_549","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_552","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_553","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_556","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_564","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_567","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_573","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_576","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_577","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_585","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_587","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_592","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_594","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_597","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_598","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_609","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_611","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_615","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_626","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_631","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_635","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_638","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_648","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_651","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_661","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_662","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_666","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_667","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_669","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_670","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_674","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_679","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_680","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_685","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_687","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_690","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_696","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_703","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_710","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_718","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_720","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_727","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_728","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_729","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_730","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_733","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_739","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_740","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_741","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_752","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_753","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_754","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_755","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_756","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_758","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_761","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_768","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_774","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_775","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_785","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_786","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_790","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_792","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_793","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_800","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_801","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_807","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_810","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_824","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_828","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_833","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_839","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_841","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_842","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_843","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_849","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_852","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_853","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_854","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_858","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_862","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_867","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_868","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_871","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_872","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_873","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_876","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_878","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_879","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_885","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_886","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_887","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_889","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_898","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_901","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_910","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_911","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_912","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_913","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_914","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_920","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_921","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_922","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_924","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_936","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_946","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_947","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_948","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_954","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_957","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_961","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_962","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_966","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_967","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_972","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_987","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_991","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_994","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_996","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_997","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_998","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1002","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1007","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1010","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1013","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1016","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1019","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1020","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1025","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1027","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1028","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1029","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1030","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1032","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1037","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1038","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1040","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
