vOTU	CMS1	CMS10	CMS11	CMS12	CMS13	CMS14	CMS15	CMS16	CMS17	CMS18	CMS19	CMS2	CMS20	CMS21	CMS22	CMS23	CMS24	CMS25	CMS26	CMS27	CMS28	CMS29	CMS3	CMS30	CMS31	CMS32	CMS33	CMS34	CMS35	CMS36	CMS37	CMS38	CMS39	CMS4	CMS40	CMS41	CMS44	CMS45	CMS47	CMS48	CMS5	CMS6	CMS7	CMS8	CMS9	PRE129	PRE174	PRE177	PRE180	PRE181	PRE182	PRE183	PRE185	PRE186	PRE187	PRE189	PRE190	PRE191	PRE192	PRE193	PRE194	PRE195	PRE196	PRE197	PRE198	PRE199	PRE200	PRE203	PRE204	PRE205	PRE207	PRE208	PRE210	PRE211	PRE212	PRE214	PRE237	PRE238	PRE239	PRE327	PRE328	PRE329	PRE330	PRE331
vOTU_56502	0	41.82039204	0	0	0	0	0	0	0	454.0902881	0	123.9242025	0	0	0	0	0	0	54.41997617	0	0	0	0	0	0	0	0	57.94927463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.99524128	0	0	3.319515396	2.99772654	0	6.090080272	5.656585429	0	0	2.648705649	34.44492544	7.587910725	0	0	0	0	0	75.82720351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56578	1.021585604	4.548105018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.442640831	0	0	0	1.581561796	0	3.983418475	1.99848436	12.1222526	5.328820238	14.14146357	13.37743834	9.983918215	0	3.563268149	1.896977681	0	0	0	0	0	0	0	0	0	0	0	0	0	131.322515	0	0	0	3.875028367	0	0	0	0	0	0	4.839354708	0	0	0	0	0	0	37.08595995	4.817185695	0	0	6.005096002	0	0	0	10.93228347	0	0	10.41458073	36.51883338	69.03783351	55.63326932	0	0	0	0	0
vOTU_56593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.33449525	7.120803694	0	5.978297542	7.998178256	0	1.523327771	0	0	0	0	3.565158476	12.14709783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56596	0	0	0	0	7.803972056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.256898327	113.2789108	88.21884576	0	23.24893489	20.99521792	46.08899729	31.98988319	28.29793135	44.1689659	16.48220429	44.16851329	75.46252108	78.57653907	1.977411648	0	0	0	0	75.86743014	0	1.395135206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56618	72.60957635	233.1101775	25.33341858	26.57553993	105.4095429	107.3186853	24.38444461	456.9111281	391.8407818	0	0	450.0972802	101.206979	85.45618643	0	20.86778606	116.4652683	205.0724662	102.5050098	64.73209267	2.823392397	0	3504.131375	0	0	0	0	1.415647574	0	0	0.883839146	0	1.139394875	140.4707473	0	0	106.8718162	0	0	0	25.12576303	193.1467849	80.47536856	34.25263818	276.880806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56638	0	0	0	0	0	0	0	0	0	0	0	0	33.73565966	0	0	0	0	0	0	0	0	3.958101841	0	5.981470736	8.002423574	25.48375458	7.620681656	38.2224845	32.80951663	18.98958202	5.303034876	13.07918631	6.076772666	0	0	0	0	0	0	0	0	0	0	0	0	0	413.1660442	0	0	0	27.1539939	0	7.008151273	0	0	0	0	0	0	0	0	0	0	0	55.687994	14.46689844	0	0	30.05735419	15.4474684	0	0	16.41583329	7.203167607	11.33256584	20.85127309	71.1911172	255.1795277	640.4617719	0	0	0	4.326056459	0
vOTU_56646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.4950207	0	0	49.36671444	0	0	0	0	39.55497806	0	96.23345321	0	0	23.20333083	4.82229948	0	149.2803106	60.11470839	0	0	128.1215289	0	212.4934444	0	5.212818273	0	0	0	0	0	0	8.652112917	0
vOTU_56650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
